Plate,State,License Type,Issue Date,Violation Time,Violation,Payment Amount,Precinct,County
T731348C,NY,PAS,2021-05-15,08:21A,OBSTRUCTING DRIVEWAY,0.0,110.0,Q
JLD7229,NY,OMS,2021-01-27,09:06A,NO PARKING-STREET CLEANING,65.0,49.0,BX
H55LGS,NJ,PAS,2021-01-27,03:42P,NO STANDING-DAY/TIME LIMITS,0.0,23.0,NY
AW26986,CT,PAS,2021-05-05,10:55P,NO STANDING-EXC. AUTH. VEHICLE,95.0,108.0,Q
HFL8080,NY,PAS,2021-02-24,09:08A,NO PARKING-STREET CLEANING,65.0,49.0,BX
JGU1058,NY,PAS,2021-02-24,11:46A,NO PARKING-STREET CLEANING,65.0,49.0,BX
HXX5512,NY,PAS,2021-02-25,07:52A,NO PARKING-STREET CLEANING,65.0,49.0,BX
KGR8848,NY,PAS,2021-01-30,01:54P,DOUBLE PARKING,0.0,28.0,NY
F19JUD,NJ,PAS,2021-01-29,01:12A,NO PARKING-STREET CLEANING,0.0,44.0,BX
JFH7827,NY,PAS,2021-02-27,07:28A,NO PARKING-STREET CLEANING,65.0,50.0,BX
KHN7421,NY,PAS,2021-01-27,09:57A,NO PARKING-STREET CLEANING,0.0,76.0,K
KHN7421,NY,PAS,2021-01-27,09:59A,REG. STICKER-EXPIRED/MISSING,0.0,76.0,K
HCB8374,NY,PAS,2021-01-29,08:39A,NO PARKING-STREET CLEANING,0.0,62.0,K
T675328C,NY,OMT,2021-01-29,09:00A,NO PARKING-STREET CLEANING,0.0,62.0,K
HFV8140,NY,PAS,2021-02-23,08:51A,NO PARKING-STREET CLEANING,65.0,50.0,BX
HLX1789,NY,PAS,2021-01-08,12:31P,NO PARKING-STREET CLEANING,0.0,52.0,BX
HCW5205,OH,PAS,2021-02-25,11:40A,NO PARKING-STREET CLEANING,65.0,52.0,BX
DRC9118,NY,PAS,2021-01-07,08:07A,NO PARKING-STREET CLEANING,65.0,42.0,BX
JRP1145,NY,PAS,2021-01-08,12:06P,NO PARKING-STREET CLEANING,65.0,52.0,BX
GWD3887,NY,PAS,2021-01-09,07:50A,NO PARKING-STREET CLEANING,65.0,52.0,BX
KHF5538,NY,PAS,2021-01-23,10:55A,REG. STICKER-EXPIRED/MISSING,0.0,43.0,BX
C4017Y,TN,PAS,2021-01-25,12:22P,NO PARKING-STREET CLEANING,65.0,47.0,BX
KDF5752,NY,PAS,2021-02-22,12:45A,NO PARKING-STREET CLEANING,65.0,43.0,BX
720405R,NJ,PAS,2021-01-22,12:05P,NO PARKING-STREET CLEANING,65.0,41.0,BX
63567ML,NY,COM,2021-02-21,08:14A,NO PARKING-STREET CLEANING,65.0,40.0,BX
GUZ5720,NY,PAS,2021-02-26,10:05A,DOUBLE PARKING,115.0,70.0,K
GTM3822,NY,PAS,2021-03-13,03:10A,NO STANDING-BUS STOP,115.0,70.0,K
KHU1653,NY,PAS,2021-01-15,09:55A,NO PARKING-STREET CLEANING,65.0,70.0,K
76434MC,NY,COM,2021-01-27,10:36P,NGHT PKG ON RESID STR-COMM VEH,0.0,60.0,K
56201MG,NY,COM,2021-03-01,11:32A,DOUBLE PARKING,35.0,114.0,Q
